id,case_number,date,block,ucr_code,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,historical_wards,zip_code,community_area,census_tract,ward,boundary,police_district,police_beat
27941,JH103662,01/13/2024 04:08:00 PM,009XX E 79TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,624,6,8.0,69.0,01A,1183767.0,1852820.0,2024,03/25/2024 04:29:54 PM,41.751320646,-87.602151846,"(41.751320646, -87.602151846)",9.0,21546.0,40.0,247.0,35.0,61.0,20.0,227.0
28688,JJ249047,05/10/2025 03:03:00 AM,063XX N BROADWAY,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2433,24,48.0,77.0,01A,1167151.0,1942254.0,2025,05/18/2025 03:41:36 PM,41.997106025,-87.660472077,"(41.997106025, -87.660472077)",46.0,4451.0,76.0,212.0,16.0,14.0,11.0,50.0
27940,JH114155,01/13/2024 12:26:00 AM,022XX W 21ST ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1234,12,25.0,31.0,01A,1161728.0,1890027.0,2024,01/21/2024 03:41:21 PM,41.853906896,-87.681880711,"(41.853906896, -87.681880711)",8.0,14920.0,33.0,4.0,26.0,43.0,15.0,121.0
28689,JJ249100,05/10/2025 04:09:00 AM,021XX S FAIRFIELD AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,1023,10,25.0,30.0,01A,1158364.0,1889551.0,2025,05/18/2025 03:41:36 PM,41.852670072,-87.6942409,"(41.852670072, -87.6942409)",11.0,14920.0,32.0,203.0,1.0,43.0,21.0,151.0
28528,JH543142,12/15/2024 01:14:00 AM,051XX S CALUMET AVE,110,HOMICIDE,FIRST DEGREE MURDER,PORCH,False,False,231,2,3.0,40.0,01A,1179363.0,1871074.0,2024,12/23/2024 03:41:48 PM,41.801513039,-87.617733588,"(41.801513039, -87.617733588)",12.0,21192.0,7.0,218.0,9.0,10.0,24.0,125.0
28690,JJ249240,05/10/2025 09:04:00 AM,002XX W 70TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,731,7,6.0,69.0,01A,1176074.0,1858560.0,2025,05/18/2025 03:41:36 PM,41.767247821,-87.630170809,"(41.767247821, -87.630170809)",31.0,21559.0,67.0,513.0,32.0,11.0,17.0,210.0
27741,JG418320,09/10/2023 03:32:00 AM,036XX W AUGUSTA BLVD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1112,11,27.0,23.0,01A,1151713.0,1906419.0,2023,09/18/2023 03:42:32 PM,41.899090952,-87.718208578,"(41.899090952, -87.718208578)",41.0,4299.0,24.0,456.0,46.0,5.0,16.0,66.0
28529,JH544231,12/15/2024 09:40:00 PM,078XX S BENNETT AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,False,414,4,8.0,43.0,01A,1190227.0,1853466.0,2024,12/23/2024 03:41:48 PM,41.752940239,-87.578458689,"(41.752940239, -87.578458689)",9.0,22538.0,39.0,188.0,35.0,24.0,19.0,222.0
27942,JH114952,01/13/2024 07:31:00 PM,016XX W 33RD PL,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,912,9,11.0,59.0,01A,1165822.0,1882526.0,2024,01/21/2024 03:41:21 PM,41.833237206,-87.667067783,"(41.833237206, -87.667067783)",26.0,14920.0,56.0,192.0,1.0,43.0,23.0,165.0
28687,JJ249047,05/10/2025 02:01:00 AM,063XX N BROADWAY,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2433,24,48.0,77.0,01A,1167151.0,1942254.0,2025,05/18/2025 03:41:36 PM,41.997106025,-87.660472077,"(41.997106025, -87.660472077)",46.0,4451.0,76.0,212.0,16.0,14.0,11.0,50.0
